selection1_name,selection2_name,selection2_selection4_name,selection2_selection3_name
,2006,"July 10: Noted poet, writer and columnist, Ahmed Nadeem Qasmi, dies in Lahore. He was 89.",
,2006,"August 26: Akbar Bugti is killed; his hide-out cave collapsed and killed everyone inside, including Pakistan Army soldiers that had come there for negotiation and talks with Akbar.",
,2007,"March 9: President Musharraf dismissed Chief Justice of Pakistan, Iftikhar.",
,2007,July 20: Iftikhar restored as Chief Justice of Pakistan.,
,2007,"October 18: Bhutto, Benazir returned to Pakistan, after exile of about 8 years.",
,2007,"November 3: Pervez Musharraf imposed emergency, most of the senior judges of Supreme Court ousted.",
,2007,"November 16: After completion of 5 years, National Assembly dissolved, Caretaker government of Muhammad Mian Soomro took oath.",
,2007,November 25: Nawaz Sharif returned Pakistan after 7 years of forced exile.,
,2007,"December 16: Emergency lifted, banned civil rights and suspended constitution restored.",
,2007,"December 27: Bhutto, Benazir assassinated in a blast/bullet attack in Rawalpindi.",
,2008,January 2: The Election Commission announces elections will now be held on February 18.,
,2008,"February 18: Elections are held amidst tight security. PPP, PML-N, PML-Q, MQM and ANP win 124, 91, 54, 25 and 13 seats respectively.",
,2008,March 24: Yusuf Raza Gilani is elected as the new prime minister.,
,2008,August 18: Pervaiz Musharraf steps down as President of Pakistan. Mohammadmian Soomro takes over as president.,
,2008,September 6: Asif Zardari wins presidential election with 481 votes.,
,2008,September 9: Asif Zardari takes oath as President of Pakistan.,
,2009,February 16: Taliban form Swat Valley as their sanctuary.,
,2009,March 9: Militants attack bus with the touring Sri Lankan cricket team. All international cricket matches in Pakistan are suspended. Pakistan also loses its status as hosts for the cricket World Cup 2011.,
,2009,23 May-15 July 2009: Pakistan Army launched Operation Rah-e-Rast and cleared Swat Valley of all Taliban elements. It is regarded as one of the most successful counter-insurgency operation in modern age,
,2009,21 June 2009: Pakistan vs Sri Lanka in Final. Pakistan won the ICC T20 Cricket World Cup in Lord's London England. Pakistan won by 8 wickets.,
,2009,"17 May 2009: Captain Bilal Zafar Abbasi got shahadat[clarification needed] during Operation Rah-e-Rast and awarded Sitar-e-Basalat, the hero of Ghazanosar.",
,2010,"April 10: Pakistan adopts the 18th amendment to the Constitution, stripping President Asif Ali Zardari of key powers.",
,2010,"June: Extensive flooding after monsoon rains. At least 1,600 people were killed",
,2010,"July 28: Crash of Airblue Flight 202, killed all 152 people on board.",
,2010,3–6 August – Riots in Karachi after the assassination of MP Raza Haider.[1],
,2010,14 August: 12 suspected militants in North Waziristan are killed by a suspected American drone attack.[2],
,2010,"1 September: At least 35 people are killed and more than 250 others injured, following a series of bomb attacks on a Shia Islamic procession in Lahore. The attacks, two of which were said to be from suicide bombers took place at a commemoration of the death of Ali ibn Abi Talib.[3]",
,2010,7 September: American actress Angelina Jolie visits flood-hit areas of the country as the UN launches a renewed appeal for aid.[4],
,2010,16 September: Exiled politician Imran Farooq is found murdered near his home in exile in north London having been stabbed several times.[5][6] Violence erupted in his hometown Karachi following his murder. Several shops and vehicles were set on fire however no casualties were reported. MQM called for a 10-day strike to mourn Farooq's death.[7],
,2010,"1 October: Pervez Musharraf launches his new political party, the All Pakistan Muslim League, at a club in London.[8]",
,2010,22 October: US Secretary of State Hillary Clinton announces that the American government is to give US$2 billion in military aid.[9],
,2010,"5 November: A bomb explodes in a mosque in Darra Adam Khel in North-West Pakistan, killing at least 55 people and injuring over 100. Later that same day a grenade attack on another mosque in the village of Sulemankhel near Peshawar claimed at least two lives. Both attacks occurred during daily prayer sessions.[10]",
,2010,28 November: Sun Way Flight 4412 crashes.,
,2010,25 December: A female suicide bomber kills at least 43 people in Khar near the border with Afghanistan.[11],
,2011,"January 4: Salmaan Taseer, the governor of Punjab, is shot by one of his bodyguards near his home for opposing Blasphemy law in Pakistan.[12]",
,2011,January 11: Internationally acclaimed Pakistani painter and Pride of Performance winner Prof. A. R. Nagori passes away.[13],
,2011,"January 27: A US diplomat, Raymond Davis, kills two men on a motorbike in Lahore allegedly in self-defense while a companion of the diplomat, who is also an American citizen, crushed to death a bike rider in a hit-and-run incident.[14]",
,2011,"March 1: The Minister for Minority Affairs, Shahbaz Bhatti, was assassinated in Islamabad",
,2011,March 30: Pakistan plays ICC 2011 Cricket World Cup against India.[15],
,2011,"April 22: Internationally renowned Pakistani actor, Moin Akhtar, dies at the age of 60 years in Karachi after suffering from a heart attack.",
,2011,May 2: The US Navy Seals killed Osama bin Laden in the city of Abbotabad.[16],
,2011,July – August: Mass target killing occurred killing ~344 people throughout Karachi.[17],
,2011,November 26: A NATO attack on two Pakistani border checkposts in Salala in the Baizai subdivision of Mohmand Agency in Federally Administered Tribal Areas kill 24 soldiers of the Pakistan Army.[18],
,2012,2 January: India-Pakistan exchange a list of their nuclear installations.[19],
,2012,"26 February: Sharmeen Obaid-Chinoy becomes the first Pakistani to ever win an Oscar at the 84th Academy Awards for the reconstructive surgery of acid attack victims, Saving Face wins for Best Documentary (Short Subject).[20]",
,2012,"22 June: Raja Pervaiz Ashraf is elected as Prime Minister of Pakistan, following the disqualification of Yousaf Raza Gillani over a contempt of court conviction by the Supreme Court of Pakistan.[21]",
,2012,"July 9: A Gunman attacked a military camp near Wazirabad in Punjab, killing seven security personnel soon after reopening for NATO supply lines to Afghanistan.",
,2012,August 14: The nation celebrated its 65th Independence Day.,
,2012,11 September: Over 314 people die in factory fires in Karachi and Lahore.[22],
,2012,October 9: 14-year-old blogger Malala Yousafzai was shot in the head by the Pakistani Taliban.[23],
,2012,6 November: US polls event organised in US embassy in Pakistan.,
,2012,9 November: 135th Iqbal day celebrated with full zeal across the nation.,
,2013,January 10: A series of terrorist attacks killed more than 100 people in Quetta.[24],
,2013,"March 9: A Christian, Sawan Masih, 28 is accused of blasphemy against the Islamic prophet Muhammad in a Christian neighborhood in Badami Bagh area.",
,2013,"March 18: Sibte Jaffar Hassan Zaidi, a Pakistani professor and social worker was killed by two people who were on a motorcycle.",
,2013,"March 25: Mir Hazar Khan Khoso is appointed as caretaker Prime Minister of Pakistan, following the completion of the PPP-led government's term in office.[25]",
,2013,May 11: General Elections 2013 held across Pakistan.,
,2013,May 25: A school bus explosion kills 17 children and injures seven more in Gujrat.[26],
,2013,"June 5: Nawaz Sharif is elected Prime Minister of Pakistan, following the Pakistan Muslim League (N)'s victory in the 2013 general elections for the 3rd time.",
,2013,July 30: Mamnoon Hussain is elected as the 12th President of Pakistan in 2013 Presidential elections.,
,2013,August 14: People of Pakistan celebrated 66th Independence day.,
,2013,September 9: Mamnoon Hussain is sworn in as the 12th President of Pakistan.,
,2013,"September 24: A 7.7 magnitude earthquake hits Balochistan, at least 825 people are killed and hundreds injured.[27][28]",
,2013,"October 10: Malala Yousafzai published her first book ""I Am Malala: The Girl Who Stood Up For Education and Was Shot By The Taliban""",
,2013,"November 1: Hakimullah Mehsud, leader of (TTP) killed by a US drone attack.",
,2013,"November 29: Pakistan Chief of Army Staff, General Ashfaq Parvez Kayani retires. General Raheel Sharif becomes the next COAS.",
,2013,"December 11: Chief Justice Iftikhar Muhammad Chaudhry retired from his position, he remained in the Supreme Court from 2005 to 2013, Justice Tassaduq Hussain Jillani becomes the next Supreme Court Chief Justice.",
,2014,"January 6: 14-year-old boy Aitizaz Hassan in Hangu, KPK, is killed stopping a suicide bomber from the school.[29]",
,2014,January 11: A ten-year-old servant girl is tortured to death in Punjab raising concerns about human rights in Pakistan.,
,2014,January 20: War starts in North-West Pakistan.[30],
,2014,"February 9: Gunmen attack an Islamic religious gathering in Karachi, killing 8 people.",
,2014,February 17: Former president Pervez Musharraf appeared in front of a civil court for the first time.,
,2014,February 21: Pakistan vs India match for ICC World T20.[31],
,2014,"March 3: Young men with guns open fire at a local court in Islamabad, resulting in at least 11 deaths and 22 injuries.",
,2014,March 31: A Pakistani court charges former President Pervez Musharraf with high treason in relation to the imposition of the emergency rule in 2007.,
,2014,April 9: A bomb blast in a market kills 26 people in the outskirts of Islamabad.,
,2014,"May 7: An alleged American FBI agent is arrested for carrying ammunition while trying to board a flight, which is in violation of their anti-terror laws.",
,2014,May 9: Geo TV transmission banned by the government.[32],
,2014,"May 21: Pakistan Air Force fighter jets bomb suspected militant hideouts in North Waziristan, killing approximately 60 militants and injuring another 30.",
,2014,"June 5: Pakistani police arrest multiple people involved in the stoning of Farzana Parveen, bringing the total number of people in custody to 12.[33]",
,2014,August 13: The process of Long March and Sit-In started by PTI and PAT.,
,2014,August 14: Pakistan's 67th dependence day was celebrated during Long March from Lahore to Islamabad.,
,2014,September 1: The Pakistan Television Corporation goes off air after protesters storm its headquarters.,
,2014,September 11: A ban is imposed on Saeed Ajmal by the ICC.[34],
,2014,October 10: Activist Malala Yousafzai becomes the first Pakistani to win the Nobel Peace Prize for her struggle to voice girls' right to education.[35],
,2014,November 2: More than 60 people were killed and more than 110 people were injured in a suicide attack on the Pakistan side of the Wagah border.[36],
,2014,"December 16: Taliban gunmen storm a military-run Army Public Schools massacre in Peshawar, killing at least 141, including 132 children and nine employees, with most of five hundred students evacuated. The shooting ends with all seven gunmen dead.[37]",
,2015,"January 25: A massive blackout strikes Pakistan, leaving as much as 80 percent of the country without electricity at its height as officials rush to restore power.[38]",
,2015,February 13: Pakistan announces the arrest of twelve Tehrik-i-Taliban Pakistan in relation to their alleged involvement in last year's school massacre.[39],
,2015,March 15: A bombing of a church in Lahore kills at least eleven people with 48 more injured.,
,2015,May 19: Zimbabwe cricket team toured Pakistan to play International Cricket Series for the first time since 2009 attack on the Sri Lanka national cricket team.,
,2016,"1 January: The Pakistan and India governments provided one another with a full list of nuclear sites, military and civilian, in accordance with the 1988 Non-Nuclear Aggression Agreement.[40]",
,2016,"18 January: Former president Pervez Musharraf was acquitted in the murder trial of Akbar Bugti, the Baloch tribal leader who died in a military operation in 2006.[41]",
,2016,4 February: First season Pakistan Super League,
,2016,19 March: Pakistan plays against India in 2016 T20 World Cup.[42],
,2016,25 March: Pakistan cricket star Shahid Afridi played his last international T20 match for Pakistan against Australia.[43],
,2016,"17 April: In Punjab, 33 people died after eating sweets, accidentally tainted with insecticide.[44]",
,2016,22 June: Musician Amjad Sabri is killed in a targeted shooting.[45],
,2016,1 November: At least 14 people are killed and 59 burned when a gas cylinder explosion aboard an oil tanker causes a major fire at the Gadani ship-breaking yard.[46][47][48],
,2016,7 December: PIA plane PK-661 crashed during flight killing 47 people including acclaimed former singer and religious scholar Junaid Jumshed and his wife.[49],
,2017,"January 21: A bombing at a vegetable market in Parachinar, Pakistan leads to the death of 25 people.",
,2017,February 9: The second season of the Pakistan Super League began.[50],
,2017,"February 16: A suicide bombing at the Shrine of Lal Shahbaz Qalander in Sehwan, Pakistan resulted in the deaths of over 90 people.[51]",
,2017,March 14: Pakistan's sixth census begins.[52],
,2017,April 19: 16th Lux Style Awards's ceremony was held in Karachi and was hosted by Atif Aslam.,
,2017,June 18: Pakistan wins 2017 ICC Champions Trophy defeating India in the finals.[53],
,2017,"July 28: A unanimous verdict by the Supreme Court of Pakistan disqualifies Prime Minister Nawaz Sharif from office, over the controversy of him and some of his family members names being in the Panama Papers, thus leading to his disqualification for lifetime.[54]",
,2017,"August 1: Shahid Khaqan Abbasi is sworn in as Prime Minister, succeeding Nawaz Sharif.[55]",
,2017,August 31: Benazir Bhutto assassination case is completed.[56],
,2018,25 February - Pakistan at the 2018 Winter Olympics,
,2018,3 March - The 2018 elections to the Senate of Pakistan were held.,
,2018,"8 March - First Aurat March held in Karachi, thousands of women demonstrate calling for more accountability for violence against women and raising awareness for women's rights.",
,2018,"24–27 May - The twenty-fifth amendment to the Constitution of Pakistan was approved by the Parliament of Pakistan and the Provincial Assembly of Khyber Pakhtunkhwa (KP), giving way to the merger of the Federally Administered Tribal Areas into the Province of Khyber Pakhtunkhwa.",
,2018,"6 July - Former Prime Minister Nawaz Sharif, his daughter Maryam Nawaz and son-in-law Safdar Awan were given prison sentences of 10, 7 and 1 years respectfully on controversial corruption charges.[1]",
,2018,25 July: The 2018 Pakistani general elections were held.,
,2018,17 August -PTI leader Imran Khan took oath as (22nd)(without ignoring care takers) Prime Minister of Islamic republic of Pakistan.,
,2018,4 September - The 2018 Pakistani presidential election were held.,
,2018,December: former Prime Minister Nawaz Sharif is sentenced to seven years,
,2019,19 January: Sahiwal killings[57],
,2019,21 January: Hub accident,
,2019,27 February: Jammu and Kashmir airstrikes,
,2019,11 July: Sadiqabad Railway Accident,
,2019,20 July: Khyber Pakhtunkhwa provincial election,
,2019,30 July: Army military plane crash,
,2019,24 September: Pakistan earthquake,
,2019,31 October: Train fire,
,2019,October - November Azadi March,
,2019,"11 December: Attack on Punjab Institute of Cardiology, Lahore.",
,2019,17 December: Supreme Court give death sentence verdict on Gen RT. Pervez Musharraf.,
,2020,"Economy of Pakistan and all over the world dumb due to the Pandemic scenario (COVID-19).
A ratio of poverty increased.
Favoritism in political parties.",
